5026619590606 12.8  5.0  0.819900-99.9-99.9-99.9-99.9 0.0  0 7.8 84  3.4   9  7.2 1.9 1.0
5026619590607 12.5  5.8  0.009900-99.9-99.9-99.9-99.9 3.2 36 6.2 74  0.2  22 17.6 4.0 2.3
5026619590608-99.9-99.9  0.009900-99.9-99.9-99.9-99.9 6.2 70-9.9-99-99.9 -99-99.9 5.9-9.9
5026619590609-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026619590610-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026619590611-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026619590612-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5026619590613 14.0  2.4  0.009900-99.9-99.9-99.9-99.9 2.5 28 4.9 52 -3.0  50 40.0 3.4 5.1
5026619590614 12.0  2.2  0.009900-99.9-99.9-99.9-99.9 2.2 25 3.5 45 -7.4  11  8.8 3.2 1.9
5026619590615 14.5  6.0  0.009900-99.9-99.9-99.9-99.9 0.0  0 6.1 61  0.0   9  7.2 1.8 1.6
5026619590616 13.6  5.0  0.009900-99.9-99.9-99.9-99.9 0.0  0 7.6 83  3.0  11  8.8 1.8 1.2
5026619590617 13.8  6.0  0.009900-99.9-99.9-99.9-99.9 5.3 61 4.2 50 -5.0  22 17.6 5.2 3.3
5026619590618 14.0  0.8  0.009900-99.9-99.9-99.9-99.9 0.4  5 5.7 64 -1.0  20 16.0 2.1 2.0
5026619590619 16.0  6.2  0.009900-99.9-99.9-99.9-99.9 1.3 15 6.3 62  0.4  18 14.4 2.6 2.4
5026619590620 10.4  5.2  0.319900-99.9-99.9-99.9-99.9 0.0  0 5.6 77 -1.2  18 14.4 1.8 2.0
5026619590621  7.0  1.0  0.009900-99.9-99.9-99.9-99.9 0.3  3 4.9 81 -3.0  16 12.8 2.0 1.3
5026619590622  9.9 -2.0  0.009900-99.9-99.9-99.9-99.9 5.0 57 3.9 65 -6.0  10  8.0 5.0 1.3
5026619590623 10.2 -2.8  0.009900-99.9-99.9-99.9-99.9 3.2 37 4.7 69 -3.6  32 25.6 3.8 2.2
5026619590624  9.6  6.0  0.009900-99.9-99.9-99.9-99.9 1.5 17 5.8 73 -0.7  33 26.4 2.8 2.9
5026619590625  9.5  0.4  0.009900-99.9-99.9-99.9-99.9 4.0 46 6.0 87 -0.2  11  8.8 4.4 0.8
