5012919610707-99.9 -6.1  0.219900-99.9-99.9-99.9-99.9 5.6 56 2.8 48-10.3  19 15.2 8.6-9.9
5012919610708-99.9 -3.2  0.009901-99.9-99.9-99.9-99.9 5.3 53 3.6 63 -7.1  14 11.2 8.3-9.9
5012919610709-99.9 -7.3  0.009900-99.9-99.9-99.9-99.9 7.1 71 2.3 34-12.7  16 12.810.1-9.9
5012919610710-99.9 -1.5  5.019901-99.9-99.9-99.9-99.9 0.0  0 3.4 45 -7.8  17 13.6 3.2-9.9
5012919610711-99.9 -4.0  0.619901-99.9-99.9-99.9-99.9 0.9  9 3.0 60 -9.4  24 19.2 4.1-9.9
5012919610712-99.9-99.9  5.619901-99.9-99.9-99.9-99.9 0.0  0 2.3 53-12.7  28 22.4 3.2-9.9
5012919610713-99.9 -6.0  2.819901-99.9-99.9-99.9-99.9 0.0  0 3.5 65 -7.4  13 10.4 3.3-9.9
5012919610714-99.9 -3.2  0.009901-99.9-99.9-99.9-99.9 0.0  0 4.0 66 -5.7   9  7.2 3.3-9.9
5012919610715-99.9 -2.0  0.009900-99.9-99.9-99.9-99.9 3.5 34 2.7 40-10.7  14 11.2 6.8-9.9
5012919610716-99.9  1.5  0.219900-99.9-99.9-99.9-99.9 0.0  0 2.3 33-12.7  33 26.4 3.3-9.9
5012919610717-99.9-99.9 60.019901-99.9-99.9-99.9-99.9 0.0  0 4.3 81 -4.7   9  7.2 3.3-9.9
5012919610718-99.9-99.9  0.009901-99.9-99.9-99.9-99.9 0.0  0 3.8 65 -6.4   7  5.6 3.4-9.9
5012919610719-99.9 -5.0  0.009901-99.9-99.9-99.9-99.9 0.0  0 2.9 58 -9.8  23 18.4 3.4-9.9
5012919610720-99.9-13.6  0.009900-99.9-99.9-99.9-99.9 5.4 53 1.0 25-22.5   7  5.6 8.9-9.9
5012919610721-99.9-11.0  0.009900-99.9-99.9-99.9-99.9 8.2 80 1.3 23-19.5   6  4.811.8-9.9
5012919610722-99.9 -1.2  0.009901-99.9-99.9-99.9-99.9 0.0  0 3.4 55 -7.8  21 16.8 3.4-9.9
5012919610723-99.9  1.0  0.009901-99.9-99.9-99.9-99.9 0.0  0 2.9 38 -9.8   6  4.8 3.5-9.9
5012919610724-99.9  2.0  0.009900-99.9-99.9-99.9-99.9 5.4 52 1.6 15-17.1  26 20.8 9.1-9.9
5012919610725-99.9 -4.5  0.009900-99.9-99.9-99.9-99.9 8.2 79 1.7 17-16.4  18 14.412.0-9.9
5012919610726-99.9 -5.0  0.009900-99.9-99.9-99.9-99.9 8.2 79 3.3 47 -8.2  11  8.812.1-9.9
5012919610727-99.9 -3.0  0.009900-99.9-99.9-99.9-99.9 8.6 83 3.1 44 -9.0  11  8.812.6-9.9
5012919610728-99.9 -4.5  0.009900-99.9-99.9-99.9-99.9 8.3 80 3.1 43 -9.0  11  8.812.4-9.9
5012919610729-99.9 -4.3  0.009900-99.9-99.9-99.9-99.9 7.7 74 2.8 42-10.3  13 10.411.8-9.9
5012919610730-99.9 -2.8  0.009900-99.9-99.9-99.9-99.9 8.4 80 2.9 40 -9.8  19 15.212.6-9.9
5012919610731-99.9  0.1  0.009900-99.9-99.9-99.9-99.9 4.3 41 3.7 40 -6.7  14 11.2 8.3-9.9
5012919610801-99.9 -0.8  0.009900-99.9-99.9-99.9-99.9 8.9 85 2.6 33-11.2  11  8.813.3-9.9
5012919610802-99.9 -3.5  0.009900-99.9-99.9-99.9-99.9 8.4 80 2.9 39 -9.8  11  8.812.8-9.9
5012919610803-99.9 -3.0  0.009900-99.9-99.9-99.9-99.9 8.3 79 2.1 29-13.8  16 12.812.8-9.9
5012919610804-99.9 -2.5  0.009900-99.9-99.9-99.9-99.9 7.5 71 2.8 37-10.3  17 13.612.0-9.9
5012919610805-99.9  0.0  0.009900-99.9-99.9-99.9-99.9 9.0 85 2.5 42-11.7  17 13.613.8-9.9
5012919610806-99.9 -1.0  0.009900-99.9-99.9-99.9-99.9 9.0 85 1.4 13-18.7  17 13.613.8-9.9
5012919610807-99.9 -1.1  0.009900-99.9-99.9-99.9-99.9 9.0 85 2.3 25-12.7  17 13.613.9-9.9
