5015819780501-99.9-99.9  7.219900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5015819781031 16.5 -2.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.3 61  2.5   1  0.8-9.9-9.9
5015819781101 20.5 -0.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.3 52  2.5   1  0.8-9.9-9.9
5015819781102 24.0  1.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.7 52  5.0   3  2.4-9.9-9.9
5015819781103 23.0  8.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.3 49  5.9   3  2.4-9.9-9.9
5015819781104 22.2  8.2  0.009900-99.9-99.9-99.9-99.9-9.9 9911.0 56  8.4   0  0.0-9.9-9.9
5015819781105 20.0 11.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.8 44  1.5   0  0.0-9.9-9.9
5015819781106 22.5  4.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.8 46  5.1  11  8.8-9.9-9.9
5015819781107 19.4 10.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.4 40  0.6  13 10.4-9.9-9.9
5015819781108 13.6  6.2  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.1 61  2.1  22 17.6-9.9-9.9
5015819781109 15.2  5.4  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.2 48  0.2  19 15.2-9.9-9.9
5015819781110 15.5 -1.5  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.1 51  0.0  11  8.8-9.9-9.9
5015819781111 21.0 -1.3  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.6 51  1.1   0  0.0-9.9-9.9
5015819781112 24.0  0.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.9 48  3.6   0  0.0-9.9-9.9
5015819781113 23.0  7.2  0.009900-99.9-99.9-99.9-99.9-9.9 9911.1 66  8.5   0  0.0-9.9-9.9
5015819781114 19.5  3.4  1.019900-99.9-99.9-99.9-99.9-9.9 99 8.8 58  5.1  16 12.8-9.9-9.9
5015819781115 18.2  8.3  0.009900-99.9-99.9-99.9-99.9-9.9 9912.1 79  9.8   0  0.0-9.9-9.9
5015819781116 18.0  8.7  4.319900-99.9-99.9-99.9-99.9-9.9 9912.1 79  9.8   0  0.0-9.9-9.9
5015819781117 16.5  7.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.4 60  6.1   4  3.2-9.9-9.9
5015819781118 15.5  7.4  1.219900-99.9-99.9-99.9-99.9-9.9 99 8.9 66  5.3  11  8.8-9.9-9.9
5015819781119 15.5  5.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.9 69  5.3   0  0.0-9.9-9.9
5015819781120 16.5  2.9  2.319900-99.9-99.9-99.9-99.9-9.9 99 8.6 64  4.8   3  2.4-9.9-9.9
5015819781121 20.0  1.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.6 54  4.8   1  0.8-9.9-9.9
5015819781122 23.5  6.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.5 46  4.6   6  4.8-9.9-9.9
5015819781123 23.0  4.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.7 49  6.5   0  0.0-9.9-9.9
5015819781124 26.0  5.7  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.9 47  6.8   2  1.6-9.9-9.9
