5291120061108-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5291120061109 17.3  0.2  0.009999-99.9-99.9-99.9-99.9-9.9 99 9.6 83  6.0 -99-99.9-9.9-9.9
5291120061110 21.2  2.1  0.009999-99.9-99.9-99.9-99.9 2.0 1513.0 86 10.1   2  1.411.0 2.1
5291120061111 18.2 12.4 18.019999-99.9-99.9-99.9-99.9-9.9 9918.0100 15.7   2  1.9 1.6-9.9
5291120061112 19.5 16.6-99.999999-99.9-99.9-99.9-99.9-9.9 9919.6100 17.2   3  2.3 1.1-9.9
5291120140904 26.9 15.3 27.019999-99.9-99.9-99.9-99.9-9.9 9921.4 79 18.5 -99-99.9-9.9-9.9
5291120140905 22.2 15.3 10.819999-99.9-99.9-99.9-99.9-9.9 9919.0 92 16.6 -99-99.9-9.9-9.9
5291120140906 30.8 16.7 14.219999-99.9-99.9-99.9-99.9-9.9 9918.8 72 16.5 -99-99.9-9.9-9.9
5291120140907 28.8 15.7  0.219999-99.9-99.9-99.9-99.9-9.9 9921.3 91 18.5 -99-99.9-9.9-9.9
5291120140908 31.7 15.4  0.009999-99.9-99.9-99.9-99.9-9.9 9922.0 74 19.0 -99-99.9-9.9-9.9
5291120140909 34.1 17.6  0.009999-99.9-99.9-99.9-99.9-9.9 9919.0 52 16.6 -99-99.9-9.9-9.9
5291120140910 32.6 19.4  0.009999-99.9-99.9-99.9-99.9-9.9 9920.3 69 17.4 -99-99.9-9.9-9.9
5291120140911 23.2 16.4  3.819999-99.9-99.9-99.9-99.9-9.9 9919.9 95 17.4 -99-99.9-9.9-9.9
5291120140912 30.7 15.4  0.009999-99.9-99.9-99.9-99.9-9.9 9923.3 86 19.8 -99-99.9-9.9-9.9
5291120140913 36.5 17.7  0.009999-99.9-99.9-99.9-99.9-9.9 9919.5 50 17.0 -99-99.9-9.9-9.9
5291120140914 33.8 16.4 31.819999-99.9-99.9-99.9-99.9-9.9 9920.1 68 17.5 -99-99.9-9.9-9.9
5291120140915 22.0 15.5  0.219999-99.9-99.9-99.9-99.9-9.9 9917.4 87 15.3 -99-99.9-9.9-9.9
5291120140916 28.3 10.4  0.009999-99.9-99.9-99.9-99.9-9.9 9913.8 69 11.7 -99-99.9-9.9-9.9
5291120140917 27.6  9.9 11.519999-99.9-99.9-99.9-99.9-9.9 9917.8 73 15.3 -99-99.9-9.9-9.9
5291120140918 20.6 17.1116.819999-99.9-99.9-99.9-99.9-9.9 9920.5100 17.9 -99-99.9-9.9-9.9
5291120140919 19.8 16.9  7.019999-99.9-99.9-99.9-99.9-9.9 9921.2100 18.4 -99-99.9-9.9-9.9
5291120140920 27.1 16.9  0.009999-99.9-99.9-99.9-99.9-9.9 9919.2 79 16.8 -99-99.9-9.9-9.9
5291120140921 25.7 10.2  0.009999-99.9-99.9-99.9-99.9-9.9 9912.9 68 10.7 -99-99.9-9.9-9.9
5291120140922 29.4  7.7  0.009999-99.9-99.9-99.9-99.9-9.9 9914.5 60 12.3 -99-99.9-9.9-9.9
5291120140923 32.1 13.8 72.519999-99.9-99.9-99.9-99.9-9.9 9918.2 57 15.9 -99-99.9-9.9-9.9
5291120140924 26.2 19.0  0.219999-99.9-99.9-99.9-99.9-9.9 9923.1 91 19.8 -99-99.9-9.9-9.9
5291120140925 26.0 17.2  5.819999-99.9-99.9-99.9-99.9-9.9 9923.1 90 19.8 -99-99.9-9.9-9.9
5291120140926 28.1 19.2 13.519999-99.9-99.9-99.9-99.9-9.9 9924.9 91 21.0 -99-99.9-9.9-9.9
5291120140927 26.7 20.1 13.819999-99.9-99.9-99.9-99.9-9.9 9924.6 86 20.9 -99-99.9-9.9-9.9
5291120140928 25.3 19.9 78.219999-99.9-99.9-99.9-99.9-9.9 9924.6 98 20.8 -99-99.9-9.9-9.9
5291120140929 26.9 19.4 77.219999-99.9-99.9-99.9-99.9-9.9 9924.2 92 20.5 -99-99.9-9.9-9.9
