5011419560901-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.9 67  1.7   8  6.4-9.9-9.9
5011419560902-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.6 67  3.0  13 10.4-9.9-9.9
5011419560903-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.1 94  8.5  11  8.8-9.9-9.9
5011419560904-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9912.9 99 10.7  11  8.8-9.9-9.9
5011419560905-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.3 87  4.3  13 10.4-9.9-9.9
5011419560906-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.2 77  4.1   4  3.2-9.9-9.9
5011419560907-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.4 81  6.1   7  5.6-9.9-9.9
5011419560908-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.9 61  5.3  33 26.4-9.9-9.9
5011419560909-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  13 10.4-9.9-9.9
5011419560910-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.2 47 -2.2  24 19.2-9.9-9.9
5011419560911-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.9 66  3.6   9  7.2-9.9-9.9
5011419560912-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 64  5.4  14 11.2-9.9-9.9
5011419560913-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.4 83  2.7  16 12.8-9.9-9.9
5011419560914-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 6.0 74 -0.2  13 10.4-9.9-9.9
5011419560915-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  53 42.4-9.9-9.9
5011419560916-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9  13 10.4-9.9-9.9
5011419560917-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.6 74  4.8  11  8.8-9.9-9.9
5011419560918-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.0 64  1.9  13 10.4-9.9-9.9
5011419560919-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 8.0 68  3.8  11  8.8-9.9-9.9
5011419560920-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5011419560921-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5011419560922-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.2 89  8.6  33 26.4-9.9-9.9
5011419560923-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.0 78  5.4   7  5.6-9.9-9.9
5011419560924-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 7.7 58  3.2   4  3.2-9.9-9.9
5011419560925-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 5.8 43 -0.7   9  7.2-9.9-9.9
5011419560926-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.1 62  7.1   4  3.2-9.9-9.9
5011419560927-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 99 9.4 52  6.1   6  4.8-9.9-9.9
5011419560928-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.3 72 12.3   7  5.6-9.9-9.9
5011419560929-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.7 64 12.7  15 12.0-9.9-9.9
5011419560930-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9915.9 76 13.9   6  4.8-9.9-9.9
5011419561001-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.2 74 14.2  30 24.0-9.9-9.9
5011419561002-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.9 82  8.2  24 19.2-9.9-9.9
5011419561003-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9911.9 98  9.5  21 16.8-9.9-9.9
5011419561004-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9910.6 83  7.8  13 10.4-9.9-9.9
5011419561005-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9914.1 92 12.1  17 13.6-9.9-9.9
5011419561006-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9916.8 98 14.8   4  3.2-9.9-9.9
5011419561007-99.9-99.9  0.009900-99.9-99.9-99.9-99.9-9.9 9915.3 97 13.3   4  3.2-9.9-9.9
